sexo_cliente,region_cliente,nacionalidad_cliente,direccion_cliente,edad_cliente,codigo_cliente,nombre_cliente,numero_hijos_cliente,puntos_acumulados_cliente,estado_civil_cliente,total_compras_cliente,fecha_nacimiento_cliente,profesion_cliente
Hombre,Sur-Europa,Espana,Pl.-San-Juan-65-08013-Barcelona,76,2031646V,Valle-Vives-Ernesto,0,9,Soltero/a,6,1942-12-25,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,via-Sforza--10-Roma,59,3735556S,Salas-Figueroa-Elena,0,8,Soltero/a,4,1959-07-11,Ingenieros-&-Especialistas
Empresa,Norte-Europa,Reino-Unido,26-Sussex-Place-(Lancaster-Gate)--London-SW1,77,3735596t,th7,NULL,71,NULL,25,1941-10-11,Servicios
Empresa,Norte-Europa,Reino-Unido,13-Rue-des-Ecoles---75003-Paris,90,2162709V,Valencia,NULL,14,NULL,10,1929-01-03,Servicios
Empresa,Sur-Europa,Espana,Via-Lorenteggio-278 --Milano,58,0131089C,Centosette-Steakhouse,NULL,12,NULL,11,1961-01-10,Alimentacion
Mujer,Norte-Europa,Reino-Unido,40-Dalnair-street--Liverpool-L69-2DH,43,3735576F,Force-Eileen,0,6,Soltero/a,4,1976-01-05,Ama-de-Casa
Hombre,Norteamerica,Estados-Unidos,34-Park-Row -New-York--NY-10016,98,1048610P,Parsons-Henry,0,9,Soltero/a,1,1920-12-13,Ingenieros-&-Especialistas
Hombre,Norteamerica,Estados-Unidos,1133-Madison-Ave -New-York--NY-10009,58,2555935G,Green-Frederick,0,6,Casado/a,12,1960-05-21,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,3-Piccadilly-Place--London-NW1,73,0589867A,Ashton-Demi,0,6,Casado/a,1,1945-07-17,Architectos-Decoradores-&-Humanistas
Empresa,Norte-Europa,Reino-Unido,Dachauer-Strasse-21--Munchen,91,1179661N,Nigun,NULL,27,NULL,8,1927-09-17,Catering
Mujer,Sur-Europa,Espana,Juan-Ramon-Jimenez--8--Madrid-28023,107,0458811P,Pons-Romera-Elvira,0,9,Soltero/a,5,1911-05-17,Architectos-Decoradores-&-Humanistas
Empresa,Norte-Europa,Reino-Unido,101-Tinworth-Street--London-NW1,83,2555960N,Niranjan,NULL,12,NULL,12,1935-12-05,Catering
Mujer,Sur-Europa,Espana,via-C.-Balbo--31-Roma,78,1310775S,Sandoval-Romero-Magdalena,4,9,Casado/a,10,1940-06-10,Gerentes-&-Directivos
Mujer,Norteamerica,Estados-Unidos,70-E-Broadway -New-York--NY-10004,58,2555924P,Parsons-Elisabeth,1,11,Soltero/a,13,1960-01-21,Ingenieros-&-Especialistas
Hombre,Sur-Europa,Espana,Salvador-Allende-31-08027-Barcelona,83,0262170P,Pereira-Fernandez-Nestor,0,11,Casado/a,9,1935-02-22,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,Leopoldstrasse-132--Munchen,42,2555959G,Gormeley-Andrew,0,9,Soltero/a,5,1976-03-17,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,Paschstrasse-46--Munchen,39,0786490M,Mills-Charles,0,7,Soltero/a,10,1979-07-09,Ama-de-Casa
Mujer,Norteamerica,Estados-Unidos,94-W-Houston-St -New-York--NY-10012,73,2424833M,Mclean-Judith,0,6,Divorciado/a,9,1945-01-15,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,56-Upper-Ground--London-W2,50,1966082D,Dickinson-Flora,2,15,Viudo/a,12,1968-01-20,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,5070-NW-74-Ave -Miami--FL-33016,74,3145755M,Moore-Eve,3,31,Casado/a,23,1944-05-18,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Via-Ugo-Tarchetti-2 --Milano,54,3670046P,Prat-Salom-Eusebio,3,5,Divorciado/a,1,1964-12-30,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,13-Bothwell-Street--Liverpool-L69-3BX,48,2621489R,Riggs-Joseph,3,8,Casado/a,9,1970-06-10,Ama-de-Casa
Empresa,Norte-Europa,Reino-Unido,150-Notting-Hill-Gate--London-W2,87,1441845F,Festival,NULL,41,NULL,19,1931-10-15,Servicios
Hombre,Sur-Europa,Espana,via-A.-Grandi--7-Roma,71,1703972M,Marques-Acereda-Agustin,0,12,Soltero/a,9,1947-09-02,Gerentes-&-Directivos
Empresa,Sur-Europa,Espana,Via-S.Lavagnini-20--Florencia,41,0852015N,New-Homestead,NULL,8,NULL,5,1977-11-17,Alimentacion
Mujer,Sur-Europa,Espana,Av.-Hispanidad--12--Madrid-28018,75,0851970F,Fuentes-Mohedano-Irene,2,10,Divorciado/a,5,1943-10-20,Ingenieros-&-Especialistas
Hombre,Norteamerica,Estados-Unidos,61-Mott-St -New-York--NY-10011,45,3407876B,Burr-Joseph,0,10,Casado/a,6,1973-08-02,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,Wilton-Place--London-EC3,77,0589857C,Cruise-Helen,2,9,Divorciado/a,10,1941-02-12,Doctores-&-Profesionales-de-la-Salud
Empresa,Sur-Europa,Espana,Piazza-Oberdan-12 --Milano,63,0458784B,Bananas,NULL,45,NULL,23,1955-08-07,Servicios
Hombre,Norte-Europa,Reino-Unido,Bayerstrasse-31--Munchen,45,1245244W,Wigens-Ernest,3,6,Casado/a,6,1973-03-28,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Via-M.-Finiguerra--Florencia,54,2949143H,Hernandez-Borrell-Alejandro,2,10,Casado/a,8,1964-07-01,Gerentes-&-Directivos
Empresa,Norte-Europa,Reino-Unido,22-28-Norfolk-Square--London-EC1,79,0393243M,Millore,NULL,47,NULL,18,1939-08-16,Catering
Hombre,Norteamerica,Estados-Unidos,6742-Collins-Ave -Miami--FL-33021,71,2883643P,Price-Gregory,3,40,Divorciado/a,32,1947-12-23,Economistas-Abogados-&-Admin.Empresas
Empresa,Norteamerica,Estados-Unidos,286-1st-Ave-#-A -New-York--NY-10007,65,0917561T,The-Restaurant,NULL,20,NULL,11,1953-05-05,Alimentacion
Hombre,Norteamerica,Estados-Unidos,2800-W-Broward-Blvd -Fort-Lauderdale--FL-33021,77,3932174S,Scanlon-Michael,0,7,Divorciado/a,7,1941-09-02,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,piazza-di-Trevi--96-Roma,62,3604498G,Garcia-Rojo-Daniel,0,8,Soltero/a,6,1956-02-13,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,C/-Berlin-61-08025-Barcelona,39,2752518S,Serralta-Rodrigo-Jaume,0,9,Soltero/a,4,1979-04-01,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,862-2nd-Ave -New-York--NY-10007,65,0524294R,Roberts-Mark,2,21,Casado/a,15,1953-07-30,Gerentes-&-Directivos
Mujer,Sur-Europa,Espana,Mesonero-Romanos--9--Madrid-28014,65,3866646G,Gil-Montoya-Julia,0,7,Soltero/a,13,1953-08-16,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,461-8th-Ave -New-York--NY-10003,81,1048607W,Walker-Hugh,1,7,Divorciado/a,7,1937-09-28,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,via-G.-Amendola--3-Roma,68,2949161E,Espada-Benegas-Susana,0,7,Casado/a,6,1951-01-03,Ama-de-Casa
Empresa,Norteamerica,Estados-Unidos,2300-Pine-Tree-Dr -Miami--FL-33020,70,0458760C,Camille,NULL,19,NULL,18,1948-07-08,Servicios
Hombre,Norteamerica,Estados-Unidos,4-E-28th-St -New-York--NY-10007,53,0720938A,Aedy-Tony,2,10,Casado/a,4,1965-01-16,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Largo-Augusto-10 --Milano,54,1572889S,Sandoval-Romero-Beatriz,1,14,Casado/a,20,1964-09-06,Gerentes-&-Directivos
Mujer,Norteamerica,Estados-Unidos,124-Nassau-St -New-York--NY-10016,43,1966091G,Grubb-Esther,0,8,Casado/a,6,1975-06-10,Ingenieros-&-Especialistas
