"0000001R","Roca Sacristán Narciso","Hombre ",19551220,"Soltero/a","Piazzale Suppercortemaggiore 4 , Milano ","Economistas,Abogados & Admin.Empresas ",0,"Sur Europa","España",4,7
"0065536F","Fuentes Mohedano Rosa ","Mujer",19420108,"Casado/a ","C/ Niza 73 08032 Barcelona","Ingenieros & Especialistas",1,"Sur Europa","España",16,13
"0065537P","Prat Salom Pedro","Hombre ",19400315,"Casado/a ","corso Vittorio Emanuele, 102 Roma ","Doctores & Profesionales de la Salud",2,"Sur Europa","España",14,10
"0000002J","Jones Nicholas","Hombre ",19110808,"Soltero/a","1 Place de la Sorbonne , 75003 Paris","Ingenieros & Especialistas",0,"Norte Europa","Reino Unido ",2,9
"0000003B","Burton Alexander","Hombre ",19420417,"Casado/a ","46 Stockwell Place ,Liverpool L69 2DH ","Doctores & Profesionales de la Salud",2,"Norte Europa","Reino Unido ",13,9
"0065538S","Sales Deborah ","Mujer",19410526,"Casado/a ","Leopoldstraße 44, München ","Economistas,Abogados & Admin.Empresas ",1,"Norte Europa","Reino Unido ",7,11
"0065539C","Cruise Tony ","Hombre ",19641108,"Soltero/a","2 Renfleld Street ,Liverpool L69 7HY","Ingenieros & Especialistas",0,"Norte Europa","Reino Unido ",10,12
"0131072C","Coleman Tony","Hombre ",19421027,"Casado/a ","67 Eldridge St  New York, NY 10006","Doctores & Profesionales de la Salud",0,"Norteamérica","Estados Unidos",2,6
"0131073S","Shaver Jane ","Mujer",19641114,"Casado/a ","432 Lafayette St  New York, NY 10006","Economistas,Abogados & Admin.Empresas ",3,"Norteamérica","Estados Unidos",21,15
"0196608M","Mills Thomas","Hombre ",19390923,"Divorciado/a ","68 Avenue de Villiers , 75015 Paris ","Economistas,Abogados & Admin.Empresas ",0,"Norte Europa","Reino Unido ",5,9
"0196609S","Shepherd Emily","Mujer",19650828,"Casado/a ","Senefelderstrasse 12, München ","Gerentes & Directivos ",3,"Norte Europa","Reino Unido ",11,8
"0131074N","Nika","Empresa",19690209,,"28 E 12th St  New York, NY 10004","Catering",,"Norteamérica","Estados Unidos",10,14
"0131075E","Embury Lewis","Hombre ",19711204,"Casado/a ","125 E 23rd St Fl 1  New York, NY 10015","Ingenieros & Especialistas",2,"Norteamérica","Estados Unidos",3,9
"0196610G","Gadd Deborah","Mujer",19410514,"Casado/a ","2 Bellevue Road ,London SW1 ","Economistas,Abogados & Admin.Empresas ",2,"Norte Europa","Reino Unido ",6,8
"0196611P","Porter Gerald ","Hombre ",19450331,"Casado/a ","22 Elizabeth St  New York, NY 10013 ","Architectos,Decoradores & Humanistas",2,"Norteamérica","Estados Unidos",2,10
"0000004N","Nirupa","Empresa",19390404,,"via Montebello, 109 Roma","Catering",,"Sur Europa","España",6,18
"0000005E","Embers","Empresa",19650909,,"via Sicilia, 24 Roma","Servicios ",,"Sur Europa","España",7,10
"0065540A","Avellaneda Alcázar Pilar","Mujer",19430723,"Casado/a ","Corso Di Porta Romana 68 , Milano ","Ingenieros & Especialistas",1,"Sur Europa","España",3,8
"0065541H","Holmes Jennifer ","Mujer",19631115,"Casado/a ","482 E 6th St  New York, NY 10011","Economistas,Abogados & Admin.Empresas ",3,"Norteamérica","Estados Unidos",3,9
"0000006C","Calder Jhon ","Hombre ",19380322,"Soltero/a","2630 NE 203rd St  Miami, FL 33028 ","Ingenieros & Especialistas",0,"Norteamérica","Estados Unidos",5,6
"0000007A","Avellaneda Alcázar Luis ","Hombre ",19450103,"Casado/a ","via Ludovisi, 15 Roma ","Gerentes & Directivos ",2,"Sur Europa","España",11,16
"0065542P","Pozo Esteve Jordi ","Hombre ",19640702,"Viudo/a","Corso Di Porta Romana 68 , Milano ","Architectos,Decoradores & Humanistas",0,"Sur Europa","España",6,9
"0065543M","Mcgraw Nicholas ","Hombre ",19791009,"Soltero/a","101 Bermondsey Wall East ,London NW1","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",10,8
"0131076F","Ferrero Bautista Jorge","Hombre ",19460111,"Divorciado/a ","Santa Teresa Jornet 76 08010 Barcelona","Doctores & Profesionales de la Salud",3,"Sur Europa","España",2,8
"0131077G","Gormeley Arthur ","Hombre ",19491101,"Casado/a ","31 Elvaston Place ,London EC3 ","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",14,14
"0196612T","Torrent León Ignacio","Hombre ",19390520,"Soltero/a","Corso di Porta Romana 48 , Milano ","Gerentes & Directivos ",0,"Sur Europa","España",13,6
"0196613H","Howard Alexander","Hombre ",19521228,"Casado/a ","1717 Collins Ave  Miami, FL 33025 ","Doctores & Profesionales de la Salud",3,"Norteamérica","Estados Unidos",13,12
"0131078R","Ruedas 4","Empresa",19600904,,"83 Rue Rambuteau , 75003 Paris","Servicios ",,"Norte Europa","Reino Unido ",5,11
"0131079N","Nupura","Empresa",19620623,,"Plaza Vázquez de Mella,1, 2º Centro, Madrid 28034 ","Catering",,"Sur Europa","España",15,14
"0196614M","Moore Adeline ","Mujer",19510925,"Casado/a ","200 Church St Fl 1  New York, NY 10010","Economistas,Abogados & Admin.Empresas ",1,"Norteamérica","Estados Unidos",5,11
"0196615L","Langford Brian","Hombre ",19461107,"Soltero/a","62 Chelsea Piers # 200a  New York, NY 10004 ","Gerentes & Directivos ",0,"Norteamérica","Estados Unidos",4,10
"0262144P","Payne Henry ","Hombre ",19660916,"Soltero/a","Somerset House, The Strand ,London SW1","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",18,17
"0262145G","Grubb Eve ","Mujer",19451229,"Soltero/a","21 University Pl  New York, NY 10004","Doctores & Profesionales de la Salud",0,"Norteamérica","Estados Unidos",10,13
"0327680B","Bell Thomas ","Hombre ",19200226,"Casado/a ","104/105 Walton Street ,London W2","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",12,11
"0327681W","Walker Denis","Hombre ",19550325,"Soltero/a","117 Rue Lauriston , 75015 Paris ","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",14,18
"0262146G","Grady Denis ","Hombre ",19570916,"Casado/a ","749 SE 15th St  Fort Lauderdale, FL 33036 ","Ingenieros & Especialistas",2,"Norteamérica","Estados Unidos",8,12
"0262147W","Wigens Gregory","Hombre ",19731222,"Casado/a ","138-140 Sussex Gardens ,London EC1","Ingenieros & Especialistas",4,"Norte Europa","Reino Unido ",6,8
"0327682T","Thando","Empresa",19300321,,"95 Rue de Richelieu , 75015 Paris ","Catering",,"Norte Europa","Reino Unido ",6,10
"0327683O","Oxley Alexander ","Hombre ",19760222,"Soltero/a","16701 Collins Ave  Miami, FL 33021","Economistas,Abogados & Admin.Empresas ",0,"Norteamérica","Estados Unidos",9,12
"0393216S","Sullivan Emily","Mujer",19480128,"Casado/a ","19 Place du Panthéon , 75003 Paris","Doctores & Profesionales de la Salud",3,"Norte Europa","Reino Unido ",11,13
"0393217W","Wilkinson Deborah ","Mujer",19610211,"Soltero/a","Fort Lauderdale, FL 33033 ","Economistas,Abogados & Admin.Empresas ",0,"Norteamérica","Estados Unidos",4,6
"0458752N","Noam","Empresa",19420613,,"68-69 Queen'S Gate Gardens ,London EC1","Catering",,"Norte Europa","Reino Unido ",10,30
"0458753G","Green Jacqueline","Mujer",19570506,"Divorciado/a ","92 Southampton Row ,London EC3","Ingenieros & Especialistas",2,"Norte Europa","Reino Unido ",1,8
"0393218E","Espada Benegas Eva","Mujer",19521011,"Casado/a ","Via Lazzaro Palazzi 18 , Milano ","Economistas,Abogados & Admin.Empresas ",3,"Sur Europa","España",11,6
"0393219B","Blimpie ","Empresa",19580402,,"13A Coin Street ,London W2","Servicios ",,"Norte Europa","Reino Unido ",9,12
"0458754V","Vinnie Cars ","Empresa",19680701,,"Via Lungo Lago 2 , Milano ","Servicios ",,"Sur Europa","España",21,23
"0458755G","Grady Charles ","Hombre ",19770716,"Soltero/a","Cutlers Gardens Arcade, 10 Devonshire Square ,London SW1","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",12,8
"0262148K","Kenney Arthur ","Hombre ",19681017,"Casado/a ","12 West Street ,Liverpool L69 2DH ","Ama de Casa ",2,"Norte Europa","Reino Unido ",7,12
"0262149B","Bance Hugh","Hombre ",19351116,"Soltero/a","149 Rue Legendre , 75003 Paris","Ama de Casa ",0,"Norte Europa","Reino Unido ",8,9
"0327684W","Walsh Grant ","Hombre ",19650216,"Casado/a ","Terminalstrasse 20, München ","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",19,13
"0327685G","Grant Jacqueline","Mujer",19200408,"Soltero/a","12 Lancaster Gate ,London EC1 ","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",4,8
"0262150N","Needham Agatha","Mujer",19440217,"Soltero/a","31 Elvaston Place ,London EC3 ","Economistas,Abogados & Admin.Empresas ",0,"Norte Europa","Reino Unido ",18,14
